time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-26 00:00:00+00:00,0,0,2,1
2026-08-27 00:00:00+00:00,15,11,10,1
2026-08-28 00:00:00+00:00,16,12,13,1
2026-08-29 00:00:00+00:00,17,13,5,1
2026-08-30 00:00:00+00:00,11,7,43,1
2026-08-31 00:00:00+00:00,64,30,39,3
2026-09-01 00:00:00+00:00,29,15,22,2
2026-09-02 00:00:00+00:00,16,9,12,6
2026-09-03 00:00:00+00:00,22,11,30,6
2026-09-04 00:00:00+00:00,25,12,7,2
2026-09-05 00:00:00+00:00,11,9,0,0
2026-09-06 00:00:00+00:00,7,6,1,1
2026-09-07 00:00:00+00:00,24,16,13,2
2026-09-08 00:00:00+00:00,7,6,4,1
