time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-24 00:00:00+00:00,39,17,71,2
2026-07-25 00:00:00+00:00,59,36,37,3
2026-07-26 00:00:00+00:00,44,22,5,2
2026-07-27 00:00:00+00:00,33,17,1,1
2026-07-28 00:00:00+00:00,15,11,0,0
2026-07-29 00:00:00+00:00,31,14,16,3
2026-07-30 00:00:00+00:00,11,7,7,2
2026-07-31 00:00:00+00:00,32,15,9,2
2026-08-01 00:00:00+00:00,140,72,179,5
2026-08-02 00:00:00+00:00,33,16,9,2
2026-08-03 00:00:00+00:00,1,1,11,1
2026-08-04 00:00:00+00:00,20,12,14,1
2026-08-05 00:00:00+00:00,39,21,31,1
2026-08-06 00:00:00+00:00,48,20,22,2
